Dep,G,C,D
Ain,0.24753654574986467,0.3278830536004332,0.42458040064970226
Aisne,0.20141381185426863,0.23719412724306688,0.5613920609026645
Allier,0.260370410484133,0.3062926459438969,0.4333369435719701
Alpes-de-Haute-Provence,0.2980255263444966,0.29180757063379514,0.41016690302170833
Hautes-Alpes,0.30648478943379887,0.3135217061816607,0.3799935043845404
Alpes-Maritimes,0.21419242490204615,0.29734436221158034,0.4884632128863735
Ardèche,0.30344752818733733,0.2910884648742411,0.40546400693842144
Ardennes,0.2162162162162162,0.25932815406499615,0.5244556297187877
Ariège,0.33616742969260954,0.3053193808589492,0.3585131894484413
Aube,0.19083306180080373,0.27164114260888456,0.5375257955903117
Aude,0.2590825290098688,0.3032209087951415,0.43769656219498965
Aveyron,0.27398444252376836,0.3739196197061365,0.3520959377700951
Bouches-du-Rhône,0.28174044810044374,0.2823898690334451,0.435869682866111
Calvados,0.270004372540446,0.34619588981198074,0.3837997376475732
Cantal,0.22038980509745126,0.34407796101949023,0.4355322338830585
Charente,0.2781320938276943,0.32904550859366555,0.3928223975786401
Charente-Maritime,0.2626000432619511,0.3416612589227774,0.3957386978152715
Cher,0.25600347712702376,0.30957296533739,0.43442355753558626
Corrèze,0.2946447851435975,0.3331893759447203,0.3721658389116821
Corse-du-Sud,0.31518780620577025,0.21567773543821447,0.46913445835601525
Haute-Corse,0.3433917369673372,0.20614319705818734,0.4504650659744754
Côte-d'Or,0.25687472719336535,0.3375163683980794,0.40560890440855524
Côtes-d'Armor,0.3099623047926764,0.3609046849757674,0.3291330102315563
Creuse,0.28907014681892335,0.30201196302338235,0.40891789015769436
Dordogne,0.29675458591121245,0.3135786388798437,0.3896667752089439
Doubs,0.26858329689549626,0.32630083078268474,0.405115872321819
Drôme,0.3007053716766142,0.306456863809007,0.39283776451437874
Eure,0.22980684811237928,0.2865452151009658,0.483647936786655
Eure-et-Loir,0.21745334796926455,0.3141602634467618,0.4683863885839737
Finistère,0.3312968917470525,0.38177920685959277,0.2869239013933548
Gard,0.26514905149051493,0.2757723577235773,0.45907859078590785
Haute-Garonne,0.33065915004336516,0.3679531656548135,0.30138768430182133
Gers,0.2735338671283272,0.3533867128327202,0.3730794200389526
Gironde,0.3046739130434783,0.36119565217391303,0.3341304347826087
Hérault,0.29310715052608977,0.2979385870732231,0.4089542624006871
